university,program,region,url
University of Mannheim,MSc Economics,Baden-Württemberg,https://www.uni-mannheim.de/en/study/programs/master-economics/
University of Cologne,MSc Economics,North Rhine-Westphalia,https://wiso.uni-koeln.de/en/studies/master/master-economics
